,index,title,href,body,date
162,162,"Muhiqbal on Twitter: ""Ada 3 Capres di Pilpres 2024 Siapa Pilihan Anda ...",https://twitter.com/MuhiqR/status/1634849412253110272,Ada 3 Capres di Pilpres 2024 Siapa Pilihan Anda : 1. Prabowo Subianto 👉 Retweet 2. Ganjar Pranowo 👉 Like 3. ANIES BASWEDAN 👉 Kutip Tweet,3/12/2023
163,163,Relawan Prabowo-Ganjar Indonesia Bersatu (ProGib) untuk ... - Twitter,https://twitter.com/detikcom/status/1634820651117576198,Relawan Prabowo-Ganjar Indonesia Bersatu (ProGib) untuk Indonesia Berkelanjutan mendeklarasikan dukungan untuk duet Prabowo Subianto dan Ganjar Pranowo. 12 Mar 2023 07:36:31,3/12/2023
164,164,"Hensat: Lucu, Jokowi Mau Ganjar Capres tapi Enggak Punya Tiket - Twitter",https://twitter.com/geloraco/status/1634867296001986561,"Hensat: Lucu, Jokowi Mau Ganjar Capres tapi Enggak Punya Tiket. 12 Mar 2023 10:41:52",3/12/2023
165,165,"detikcom on Twitter: ""Elektabilitas Anies Baswedan unggul di atas ...",https://twitter.com/detikcom/status/1634768783628705798,Elektabilitas Anies Baswedan unggul di atas Prabowo Subianto dan hingga Ganjar versi survei Indonesia Political Opinion (IPO). NasDem tak jemawa. 12 Mar 2023 04:10:25,3/12/2023
166,166,"Bang #NalaR ®️ ☕ on Twitter: ""Yang pasti dia hanya bisa menang pakai ...",https://twitter.com/Paltiwest/status/1634904616596013056,Yang pasti dia hanya bisa menang pakai politik identitas.. Di pilpres kalau lawannya Puan pasti dia pakai identitas pemimpin di Islam itu perempuan.. Makanya dia pusing kalau lawannya Prabowo atau Ganjar.. 12 Mar 2023 13:10:10,3/12/2023
167,167,"Musni Umar on Twitter: ""Presiden Jokowi ajak Prabowo &amp; Ganjar panen ...",https://twitter.com/musniumar/status/1635219022966034434,Presiden Jokowi ajak Prabowo & Ganjar panen raya padi di Ngawi. ... PBB dekati PDIP. PDIP akan calonkan kadernya di Pilpres 2024. Nasib KIB bubar? PAN tunggu petunjuk Jokowi ... Klik You Tube Subscribe Tonton https:// youtu.be/erqK3-bu-Y0. youtube.com. ... sdh ngak ada kerjaan jd skrg kerjanya bolak balik kartu Capres (kebanyakan cuma asumsi ...,3/13/2023
168,168,"Brother Djon on Twitter: ""13 Maret 2023. Direktur IPO Dedi Kurnia Syah ...",https://twitter.com/brother_djon/status/1635408282096660480,"13 Maret 2023. Direktur IPO Dedi Kurnia Syah. Ekektabilitas Bakal Capres Anies Baswedan berada diurutan pertama. Anies mampu mengunguli Ganjar dan Prabowo. 1. Anies 34,7 % 2. Ganjar 29,6 % 3. Prabowo 26,7 % Naiknya elektabilitas Anies krn deklarasi oleh ke 3 partai pendukung . 13 Mar 2023 22:31:33",3/13/2023
169,169,"kumparan on Twitter: ""Ganjar Pranowo dianggap sebagai tokoh yang mampu ...",https://twitter.com/kumparan/status/1635120042076680201,"Ganjar Pranowo dianggap sebagai tokoh yang mampu mendorong kemajuan desa melalui kepengurusan Perkumpulan Pemerintah Desa Seluruh Indonesia (PAPDESI). 3:26 AM · Mar 13, 2023 1,911",3/13/2023
170,170,"Suara Indonesia on Twitter: ""Capaian luar biasa dari pemimpin yang luar ...",https://twitter.com/Suara62/status/1635093566941966337,"""Capaian luar biasa dari pemimpin yang luar biasa. Dimple Michelle Yeoh Merapi SURENE JAYA JAYA JAYA Ansor Pagiii ibnu riza wonwoo Perempuan Bangsa Jamie Lee Curtis #Ganjar #ganjarpranowo #GanjarHebat #NCTDREAM_THEDREAMSHOW2_in_BKK #TheGlory2 #DateMyFamily #BORNPINKinJKTday2""",3/13/2023
171,171,"Dila on Twitter: ""Yuk yg mau mudik GRATIS ""Mudikers GP"" bersama Sahabat ...",https://twitter.com/kudila_/status/1635126033719468034,"Yuk yg mau mudik GRATIS ""Mudikers GP"" bersama Sahabat Ganjar. Yg mau daftar disini ya: http://sahabatganjar.com/mudik2023 #MudikGratisBarengGanjar",3/13/2023
