,title,url,description
29,"Hops.ID on Instagram: ""Partai Demokrasi Indonesia Perjuangan (PDIP ...",https://www.instagram.com/p/CDQpvK-gSdu/,"10 likes, 0 comments - Hops.ID (@hopsindonesia) on Instagram: ""Partai Demokrasi Indonesia Perjuangan (PDIP) saat ini disebut-sebut memiliki dua jagoan yang puny...""",
30,"Ganjar Idola Rakyat on Instagram: ""Ganjar Pranowo, Prabowo Subianto dan ...",https://www.instagram.com/p/CqVcKywpbxg/,"20 Likes, 1 Comments - Ganjar Idola Rakyat (@ganjaridolarakyat) on Instagram: ""Ganjar Pranowo, Prabowo Subianto dan Anies Baswedan mendominasi 3 top of mind survei figure bakal ...",
31,"Ganjar Pedia on Instagram: ""Presiden @jokowi bertemu Gubernur Jawa ...",https://www.instagram.com/p/CjSBc2irEWG/,"493 likes, 10 comments - Ganjar Pedia (@ganjarpedia) on Instagram: ""Presiden @jokowi bertemu Gubernur Jawa Tengah @ganjar_pranowo di tengah momentum deklarasi Partai ...",
32,"Dinas Perhubungan Jawa Tengah on Instagram: ""Selamat Memperingati Hari ...",https://www.instagram.com/p/CVjft0SvkjH/,"25 likes, 0 comments - Dinas Perhubungan Jawa Tengah (@perhubunganjtg) on Instagram: ""Selamat Memperingati Hari Sumpah Pemuda 28 Oktober 2021. Mari kita lanjutkan perjuangan para pahl..."" Dinas Perhubungan Jawa Tengah on Instagram: ""Selamat Memperingati Hari Sumpah Pemuda 28 Oktober 2021.",
33,"GANJAR SAHABAT RAKYAT on Instagram: ""Dinilai sebagai menteri terbaik ...",https://www.instagram.com/p/CpdxJWPuxff/,"March 6, 2023 - 94 likes, 1 comments - GANJAR SAHABAT RAKYAT (@ganjarsahabatrakyat) on Instagram: ""Dinilai sebagai menteri terbaik dan andalan Presiden Joko Widodo sehingga sangat layak untuk menj ...",
34,"Palembang kusut on Instagram: ""Jakarta, CNN Indonesia -- Relawan ...",https://www.instagram.com/p/CU5F8G-vZcb/,"387 likes, 23 comments - Palembang kusut (@palembang.kusut) on Instagram: ""Jakarta, CNN Indonesia -- Relawan Sahabat Luhut Binsar Pandjaitan (LBP) menggelar deklarasi ...",
35,"Total Politik on Instagram: ""Litbang Kompas kembali merilis hasil ...",https://www.instagram.com/p/Co_z7BJpVdw/,"1,218 Likes, 239 Comments - Total Politik (@totalpolitikcom) on Instagram: ""Litbang Kompas kembali merilis hasil survei, kali ini mengenai elektabilitas para bakal ...",
36,"RUMAH KITA JATIM on Instagram: ""GANJAR MEMANG SABAR ! PDIP partai ...",https://www.instagram.com/p/CiuqY8apsKS/,"117 likes, 21 comments - RUMAH KITA JATIM (@ganjarpranowo_fc) on Instagram: ""GANJAR MEMANG SABAR ! PDIP partai terbesar di Indonesia kini menghadapi situasi dilematis ...",
37,"MEDIA POLITIK INDONESIA on Instagram: ""Jakarta, tvOnenews.com - Ganjar ...",https://www.instagram.com/p/CrcZqSRJoVx/,"115 likes, 15 comments - MEDIA POLITIK INDONESIA (@politikmedia) on Instagram: ""Jakarta, tvOnenews.com - Ganjar Pranowo resmi ditunjuk sebagai capres oleh PDI Perjuangan. Peg..."" MEDIA POLITIK INDONESIA on Instagram: ""Jakarta, tvOnenews.com - Ganjar Pranowo resmi ditunjuk sebagai capres oleh PDI Perjuangan.",
38,"tempoupdate | Indonesia on Instagram: ""Tokoh bermunculan jelang pilpres ...",https://www.instagram.com/p/CfdV-SiP5eh/,"@ganjar_pranowo @prab..."" tempoupdate | Indonesia on Instagram: ""Tokoh bermunculan jelang pilpres, ada lagi gak bakal calon Presiden 2024? @ganjar_pranowo @prabowo @aniesbaswedan @ridwankamil @agusyudhoyono @sandiuno #bicarapolitik #politikindonesia #politik #infopolitik #tempoupdate #politikindonesia""",
39,Pemimpin.id (@pemimpin.indonesia) • Instagram photos and videos,https://www.instagram.com/pemimpin.indonesia/,"386K Followers, 1,154 Following, 3,000 Posts - See Instagram photos and videos from Pemimpin.id (@pemimpin.indonesia)",
40,"Asiabusinessinfo.com on Instagram: ""@ganjar_pranowo Jadi Capres ...",https://www.instagram.com/p/CrTJPRvL3_l/,"4 likes, 0 comments - Asiabusinessinfo.com (@abimagazine) on Instagram: ""@ganjar_pranowo Jadi Capres @pdiperjuangan , @jokowi : Ganjar Pemimpin yang Dekat dengan Rakyat ...",
41,"Sahabat Ganjar Pranowo on Instagram: ""Kalau Ganjar Pranowo @ganjar ...",https://www.instagram.com/p/Ci4FxRIvx21/,"34 likes, 1 comments - Sahabat Ganjar Pranowo (@sahabat_ganjarp) on Instagram: ""Kalau Ganjar Pranowo @ganjar_pranowo yang menang menjadi Presiden di Pilpres 2024 nanti, dijamin ...",
42,"INFO GIANYAR DAN BALI on Instagram: ""Ganjar Pranowo, calon presiden ...",https://www.instagram.com/p/CrVCo-nPLTQ/,"404 likes, 2 comments - INFO GIANYAR DAN BALI (@gianyarinfo_) on Instagram: ""Ganjar Pranowo, calon presiden (capres) yang diusung PDIP sekaligus Gubernur Jawa Tengah, menyata ...",
43,"Ganjar Pranowo Bisa on Instagram: ""Pembubaran salah satu kelompok ...",https://www.instagram.com/p/CodZ2JESwUf/,"February 9, 2023 - 358 likes, 17 comments - Ganjar Pranowo Bisa (@ganjarpranowobisa) on Instagram: ""Pembubaran salah satu kelompok pendukung Ganjar Pranowo dinilai tidak mempengaruhi popularitasnya ...",
44,"Ganjar Bersama Indonesia on Instagram: ""Ganjar Pranowo, Prabowo ...",https://www.instagram.com/p/CqPOiX0rNmv/,"83 Likes, 4 Comments - Ganjar Bersama Indonesia (@ganjarbersamaindonesia) on Instagram: ""Ganjar Pranowo, Prabowo Subianto dan Anies Baswedan mendominasi 3 top of mind survei figure bakal ...",
45,"RUMAH KITA JATIM on Instagram: ""GANJAR SUDAH PASTI CAPRES ! Rabu, 5 ...",https://www.instagram.com/p/Cq5Qix4JiYW/,"Rabu, 5 April 2023, salah satu orang dekat Ganjar Pranowo mendapat ..."" RUMAH KITA JATIM 🇮🇩 on Instagram: ""GANJAR SUDAH PASTI CAPRES ! Rabu, 5 April 2023, salah satu orang dekat Ganjar Pranowo mendapat kabar mengejutkan: Ganjar mengantongi restu partai untuk melaju ke Pilpres 2024 dan bakal dideklarasikan sebagai calon presiden.",
46,"Ganjarist | Relawan Ganjar Pranowo on Instagram: ""Konsisten! Survei ...",https://www.instagram.com/p/CqUMKBYpfh6/,"23 Likes, 0 Comments - Ganjarist | Relawan Ganjar Pranowo (@ganjarist.relawanganjar) on Instagram: ""Konsisten! Survei Indikator Politik: Ganjar Pranowo Sosok Capres ...",
47,"SINDOnews on Instagram: ""Pilpres 2024, Ganjar-Erick Dinilai Mampu ...",https://www.instagram.com/p/Crdd3VRS23h/,"1,702 likes, 314 comments - SINDOnews (@sindonews) on Instagram: ""Pilpres 2024, Ganjar-Erick Dinilai Mampu Lanjutkan Pembangunan Jokowi https://bit.ly/3oICs81 Mun..."" SINDOnews on Instagram: ""Pilpres 2024, Ganjar-Erick Dinilai Mampu Lanjutkan Pembangunan Jokowi https://bit.ly/3oICs81 Muncul wacana pasangan capres Ganjar Pranowo dan cawapres ...",
